#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6883653	511145.b3033	0
6883652	511145.b3032	83.0
6883651	511145.b3031	0
6883650	511145.b3030	0
6884459	511145.b3918	0
6883618	511145.b2992	0
6884167	511145.b3587	0
6884166	511145.b3586	0
6884165	511145.b3585	0
6884164	511145.b3584	0
6884163	511145.b3583	0
6884162	511145.b3582	0
6884161	511145.b3581	0
6884160	511145.b3580	0
6881641	511145.b0840	0
6884169	511145.b3589	0
6884168	511145.b3588	1650
6884456	511145.b3915	0
6884457	511145.b3916	676
6884458	511145.b3917	0
6884536	511145.b4005	192
6884403	511145.b3859	0
6884454	511145.b3911	0
6883708	511145.b3091	0
6882632	511145.b1891	0
6882992	511145.b2293	51.8
6883707	511145.b3090	0
6883720	511145.b3103	0
6883719	511145.b3102	272
6883718	511145.b3101	0
6883717	511145.b3100	0
6883724	511145.b3107	0
6884122	511145.b3541	91.3
6883722	511145.b3105	0
6883721	511145.b3104	0
6883956	511145.b3363	423
6883955	511145.b3362	204
6883954	511145.b3361	115
6883953	511145.b3360	0
6883960	511145.b3367	0
6883959	511145.b3366	0
6883958	511145.b3365	0
6883957	511145.b3364	0
6883712	511145.b3095	0
6883962	511145.b3369	0
6883961	511145.b3368	0
6883711	511145.b3094	40.0
6884267	511145.b3693	0
6884266	511145.b3691	0
6884265	511145.b3690	0
6884269	511145.b3697	0
6884268	511145.b3696	0
6884271	511145.b3699	241
6884125	511145.b3544	3760
6882893	511145.b2188	0
6882885	511145.b2180	0
6882886	511145.b2181	0
6882887	511145.b2182	0
6882888	511145.b2183	100
6882889	511145.b2184	0
6882890	511145.b2185	18593
6882891	511145.b2186	66.9
6882892	511145.b2187	378
6883296	511145.b2618	0
6883823	511145.b3216	0
6883822	511145.b3215	0
6883821	511145.b3214	0
