#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YMR166C::BFLEX	-2.448	YMR166C
YHR050W::BFLEX	-2.444	SMF2
YMR179W::BFLEX	-2.436	SPT21
YOR083W::BFLEX	-2.426	WHI5
YGR070W::BFLEX	-2.416	ROM1
YMR311C::BFLEX	-2.411	GLC8
YBR233W::BFLEX	-2.366	PBP2
YFL036W::BFLEX	-2.362	RPO41
YML050W::BFLEX2	-2.33	YML050W
YJL222W::BFLEX	-2.324	VTH2
YDR334W::BFLEX	-2.319	SWR1
YKL179C::BFLEX	-2.317	COY1
YBR073W::BFLEX	-2.317	RDH54
YLR371W::BFLEX	-2.304	ROM2
YNL224C::BFLEX	-2.3	YNL224C
YBR273C::BFLEX	-2.29	UBX7
YNR034W::BFLEX	-2.243	SOL1
YKL193C::BFLEX	-2.215	SDS22
YML081W::BFLEX	-2.213	YML081W
YOL054W::BFLEX	-2.187	PSH1
YPL248C::BFLEX	-2.183	GAL4
YJL147C::BFLEX	-2.183	YJL147C
YLR073C::BFLEX	-2.168	YLR073C
YKR099W::BFLEX	-2.141	BAS1
YLR139C::BFLEX	-2.14	SLS1
YKL100C::BFLEX	-2.128	YKL100C
YDR475C::BFLEX	-2.115	JIP4
YEL009C::BFLEX	-2.11	GCN4
YMR032W::BFLEX	-2.106	HOF1
YER093C::BFLEX	-2.078	TSC11
YOR372C::BFLEX	-2.056	NDD1
YHR164C::BFLEX	-2.052	DNA2
YNL042W::BFLEX	-2.048	BOP3
YPL032C::BFLEX	-2.033	SVL3
YOL113W::BFLEX	-1.981	SKM1
YJL198W::BFLEX	-1.975	PHO90
YPL011C::BFLEX	-1.972	TAF3
YOR081C::BFLEX	-1.972	TGL5
YDR034C::BFLEX	-1.964	LYS14
YML109W::BFLEX	-1.953	ZDS2
YLR357W::BFLEX	-1.939	RSC2
YJL080C::BFLEX	-1.939	SCP160
YGL064C::BFLEX	-1.93	MRH4
YNL121C::BFLEX	-1.928	TOM70
YHR177W::BFLEX	-1.911	YHR177W
YDR332W::BFLEX	-1.903	IRC3
YOR305W::BFLEX	-1.903	YOR305W
YER129W::BFLEX	-1.879	SAK1
YAL035W::BFLEX	-1.87	FUN12
YJL106W::BFLEX	-1.86	IME2
YAL017W::BFLEX	-1.86	PSK1
YCL037C::BFLEX	-1.853	SRO9
YFL050C::BFLEX	-1.852	ALR2
YMR273C::BFLEX	-1.835	ZDS1
YLR223C::BFLEX	-1.824	IFH1
YBR112C::BFLEX	-1.823	CYC8
YDR474C::BFLEX	-1.821	JIP4_p
YPL172C::BFLEX	-1.817	COX10
YPR018W::BFLEX	-1.797	RLF2
YBL029W::BFLEX	-1.786	YBL029W
YNL287W::BFLEX	-1.784	SEC21
YDR379W::BFLEX	-1.766	RGA2
YLR453C::BFLEX	-1.735	RIF2
YGR202C::BFLEX	-1.727	PCT1
YOR361C::BFLEX	-1.666	PRT1
YDL077C::BFLEX	-1.654	VAM6
YGR054W::BFLEX	-1.645	YGR054W
YJL131C::BFLEX	-1.643	YJL131C
YKL109W::BFLEX	-1.639	HAP4
YMR128W::BFLEX	-1.638	ECM16
YLR332W::BFLEX	-1.623	MID2
YBR289W::BFLEX	-1.608	SNF5
YJR016C::BFLEX	-1.605	ILV3
YOL013C::BFLEX	-1.603	HRD1
YLR173W::BFLEX	-1.59	YLR173W
YLR382C::BFLEX	-1.589	NAM2
YDL122W::BFLEX	-1.577	UBP1
YLR203C::BFLEX	-1.567	MSS51
YMR207C::BFLEX	-1.561	HFA1
YDR369C::BFLEX	-1.549	XRS2
YPR120C::BFLEX	-1.546	CLB5
YMR119W::BFLEX	-1.537	ASI1
YAR018C::BFLEX	-1.536	KIN3
YGL075C::BFLEX	-1.518	MPS2
YOL089C::BFLEX	-1.513	HAL9
YDL067C::BFLEX	-1.512	COX9
YJL047C::BFLEX	-1.512	RTT101
YPL253C::BFLEX	-1.506	VIK1
YPL168W::BFLEX	-1.505	YPL168W
YNL297C::BFLEX	-1.496	MON2
YGL147C::BFLEX	-1.494	RPL9A
YDR335W::BFLEX	-1.489	MSN5
YEL043W::BFLEX	-1.484	YEL043W
YHR120W::BFLEX	-1.473	MSH1
YLR115W::BFLEX	-1.467	CFT2
YCR065W::BFLEX	-1.458	HCM1
YGR157W::BFLEX	-1.455	CHO2
YNL091W::BFLEX	-1.455	NST1
YIL107C::BFLEX	-1.451	PFK26
YDR216W::BFLEX	-1.438	ADR1
YGR264C::BFLEX	-1.436	MES1
YGL061C::BFLEX	-1.434	DUO1
YER158C::BFLEX	-1.429	YER158C
YKL162C::BFLEX	-1.415	YKL162C
YML072C::BFLEX	-1.412	TCB3
YCR033W::BFLEX	-1.411	SNT1
YDR407C::BFLEX	-1.411	TRS120
YPR024W::BFLEX	-1.393	YME1
YBR199W::BFLEX	-1.39	KTR4
YBL104C::BFLEX	-1.377	YBL104C
YHL048W::BFLEX	-1.354	COS8
YMR205C::BFLEX	-1.35	PFK2
YHR009C::BFLEX	-1.347	YHR009C
YER045C::BFLEX	-1.341	ACA1
YOR208W::BFLEX	-1.337	PTP2
YNL116W::BFLEX	-1.336	DMA2
YPL255W::BFLEX	-1.331	BBP1
YPL219W::BFLEX	-1.328	PCL8
YLR422W::BFLEX	-1.326	YLR422W
YML131W::BFLEX	-1.326	YML131W
YOR250C::BFLEX	-1.32	CLP1
YDL089W::BFLEX	-1.315	YDL089W
YJR090C::BFLEX	-1.314	GRR1
YFL008W::BFLEX	-1.308	SMC1
YLR330W::BFLEX	-1.295	CHS5
YIR001C::BFLEX	-1.291	SGN1
YNR019W::BFLEX	-1.285	ARE2
YDR169C::BFLEX	-1.285	STB3
YIR033W::BFLEX	-1.282	MGA2
YGL023C::BFLEX	-1.281	PIB2
YKR021W::BFLEX	-1.281	YKR021W
YBL105C::BFLEX	-1.278	PKC1
YPL141C::BFLEX	-1.274	YPL141C
YDR514C::BFLEX	-1.271	YDR514C
YHL032C::BFLEX	-1.266	GUT1
YDR028C::BFLEX	-1.257	REG1
YMR165C::BFLEX	-1.253	PAH1
YLR289W::BFLEX	-1.247	GUF1
YJL082W::BFLEX	-1.245	IML2
YEL031W::BFLEX	-1.245	SPF1
YBR056W::BFLEX	-1.244	YBR056W
YGL141W::BFLEX	-1.243	HUL5
YER105C::BFLEX	-1.242	YER105C
YGR178C::BFLEX	-1.236	PBP1
YLR241W::BFLEX	-1.232	YLR241W
YLR014C::BFLEX	-1.226	PPR1
YDR229W::BFLEX	-1.223	IVY1
YJL133W::BFLEX	-1.22	MRS3
YLR342W::BFLEX	-1.219	FKS1
YJR035W::BFLEX	-1.217	RAD26
YGL125W::BFLEX	-1.21	MET13
YOR112W::BFLEX	-1.207	YOR112W
YJR043C::BFLEX	-1.202	POL32
YDR515W::BFLEX	-1.193	SLF1
YLR229C::BFLEX	-1.192	CDC42
YOL116W::BFLEX	-1.191	MSN1
YJR132W::BFLEX	-1.177	NMD5
YML057W::BFLEX	-1.169	CMP2
YBR069C::BFLEX	-1.162	TAT1
YDL117W::BFLEX	-1.155	CYK3
YKL014C::BFLEX	-1.151	URB1
YOR062C::BFLEX	-1.15	YOR062C
YBL076C::BFLEX	-1.149	ILS1
YGR251W::BFLEX	-1.148	YGR251W
YBL017C::BFLEX	-1.136	PEP1
YDR200C::BFLEX	-1.133	VPS64
YER143W::BFLEX	-1.132	DDI1
YER070W::BFLEX	-1.129	RNR1
YGR276C::BFLEX	-1.126	RNH70
YPL158C::BFLEX	-1.111	YPL158C
YNL283C::BFLEX	-1.109	WSC2
YKR018C::BFLEX	-1.109	YKR018C
YFR045W::BFLEX	-1.108	YFR045W
YPL193W::BFLEX	-1.106	RSA1
YDR326C::BFLEX	-1.106	YDR326C
YIL006W::BFLEX	-1.103	YIA6
YDR124W::BFLEX	-1.102	YDR124W
YOR004W::BFLEX	-1.101	UTP23
YHR131C::BFLEX	-1.101	YHR131C
YAL019W::BFLEX	-1.1	FUN30
YLL054C::BFLEX	-1.098	YLL054C
YBR020W::BFLEX	-1.097	GAL1
YDR536W::BFLEX	-1.094	STL1
YMR066W::BFLEX	-1.092	SOV1
YOR071C::BFLEX	-1.089	YOR071C
YPL179W::BFLEX	-1.087	PPQ1
YLR336C::BFLEX	-1.085	SGD1
YGR019W::BFLEX	-1.084	UGA1
YLR220W::BFLEX	-1.078	CCC1
YGL238W::BFLEX	-1.076	CSE1
YMR195W::BFLEX	-1.076	ICY1
YPL263C::BFLEX	-1.074	KEL3
YER131W::BFLEX	-1.073	RPS26B
YKR098C::BFLEX	-1.071	UBP11
YJR093C::BFLEX	-1.07	FIP1
YGR250C::BFLEX	-1.067	YGR250C
YDR528W::BFLEX	-1.066	HLR1
YLR118C::BFLEX	-1.064	YLR118C
YBL009W::BFLEX	-1.061	YBL009W
YJL201W::BFLEX	-1.047	ECM25
YNL292W::BFLEX	-1.042	PUS4
YOR327C::BFLEX	-1.04	SNC2
YFL003C::BFLEX	-1.038	MSH4
YLR079W::BFLEX	-1.031	SIC1
YOR023C::BFLEX	-1.029	AHC1
YBR030W::BFLEX	-1.026	YBR030W
YML114C::BFLEX	-1.023	TAF8
YPR030W::BFLEX	-1.016	CSR2
YER014W::BFLEX	-1.016	HEM14
YDR459C::BFLEX	-1.016	PFA5
YPR026W::BFLEX	-1.014	ATH1
YDR530C::BFLEX	-1.01	APA2
YGL092W::BFLEX	-1.01	NUP145
YGR125W::BFLEX	-1.009	YGR125W
YJR106W::BFLEX	-1.008	ECM27
YLR177W::BFLEX	-1.006	YLR177W
YBR081C::BFLEX	-1.005	SPT7
YDR212W::BFLEX	-1	TCP1
YFL018C::BFLEX	-0.995	LPD1
YOL114C::BFLEX	-0.993	YOL114C
YGL222C::BFLEX	-0.992	EDC1
YDR351W::BFLEX	-0.992	SBE2
YOL103W::BFLEX	-0.985	ITR2
YBR065C::BFLEX	-0.984	ECM2
YOR073W::BFLEX	-0.981	SGO1
YCR107W::BFLEX	-0.977	AAD3
YPL124W::BFLEX	-0.977	SPC29
YJL216C::BFLEX	-0.971	YJL216C
YBL020W::BFLEX	-0.967	RFT1
YDR495C::BFLEX	-0.967	VPS3
YPL226W::BFLEX	-0.965	NEW1
YPL256C::BFLEX	-0.961	CLN2
YBR024W::BFLEX	-0.955	SCO2
YGR017W::BFLEX	-0.953	YGR017W
YJR010W::BFLEX	-0.95	MET3
YCL064C::BFLEX	-0.948	CHA1
YDR066C::BFLEX	-0.943	YDR066C
YBR057C::BFLEX	-0.942	MUM2
YEL005C::BFLEX	-0.942	VAB2
YKR052C::BFLEX	-0.939	MRS4
YIR021W::BFLEX	-0.938	MRS1
YGL179C::BFLEX	-0.938	TOS3
YLR096W::BFLEX	-0.937	KIN2
YBR138C::BFLEX	-0.935	YBR138C
YPL267W::BFLEX	-0.927	ACM1
YJR078W::BFLEX	-0.922	BNA2
YFR004W::BFLEX	-0.921	RPN11
YLR362W::BFLEX	-0.92	STE11
YDL233W::BFLEX	-0.919	YDL233W
YNL268W::BFLEX	-0.918	LYP1
YER123W::BFLEX	-0.916	YCK3
YHR155W::BFLEX	-0.914	YSP1
YMR139W::BFLEX	-0.913	RIM11
YKR092C::BFLEX	-0.913	SRP40
YOR278W::BFLEX	-0.912	HEM4
YLL021W::BFLEX	-0.911	SPA2
YOR201C::BFLEX	-0.91	MRM1
YKL126W::BFLEX	-0.91	YPK1
YGL197W::BFLEX	-0.906	MDS3
YGL142C::BFLEX	-0.903	GPI10
YNL014W::BFLEX	-0.901	HEF3
YJL020C::BFLEX	-0.899	BBC1
YJR013W::BFLEX	-0.897	GPI14
YMR086W::BFLEX	-0.897	YMR086W
YGL220W::BFLEX	-0.895	YGL220W
YMR259C::BFLEX	-0.893	YMR259C
YLR383W::BFLEX	-0.891	SMC6
YOR211C::BFLEX	-0.89	MGM1
YOR160W::BFLEX	-0.889	MTR10
YMR075W::BFLEX	-0.887	RCO1
YDR448W::BFLEX	-0.886	ADA2
YOL056W::BFLEX	-0.886	GPM3
YML034W::BFLEX	-0.885	SRC1
YLR425W::BFLEX	-0.884	TUS1
YDL164C::BFLEX	-0.88	CDC9
YPR049C::BFLEX	-0.879	ATG11
YER132C::BFLEX	-0.878	PMD1
YOR198C::BFLEX	-0.877	BFR1
YNR014W::BFLEX	-0.876	YNR014W
YPL010W::BFLEX	-0.875	RET3
YMR291W::BFLEX	-0.868	YMR291W
YHR194W::BFLEX	-0.867	MDM31
YKL106W::BFLEX	-0.866	AAT1
YPL019C::BFLEX	-0.865	VTC3
YBR225W::BFLEX	-0.865	YBR225W
YOR204W::BFLEX	-0.864	DED1
YDR217C::BFLEX	-0.863	RAD9
YHR086W::BFLEX	-0.862	NAM8
YPL186C::BFLEX	-0.862	UIP4
YMR210W::BFLEX	-0.859	YMR210W
YKL155C::BFLEX	-0.858	RSM22
YFL023W::BFLEX	-0.856	BUD27
YPL208W::BFLEX	-0.855	RKM1
YPL212C::BFLEX	-0.852	PUS1
YFL031W::BFLEX	-0.85	HAC1
YER022W::BFLEX	-0.85	SRB4
YMR111C::BFLEX	-0.85	YMR111C
YGL180W::BFLEX	-0.849	ATG1
YKL108W::BFLEX	-0.849	SLD2
YNL108C::BFLEX	-0.849	YNL108C
YKL045W::BFLEX	-0.845	PRI2
YLR237W::BFLEX	-0.845	THI7
YNL181W::BFLEX	-0.845	YNL181W
YPR022C::BFLEX	-0.845	YPR022C
YNL175C::BFLEX	-0.844	NOP13
YGR240C::BFLEX	-0.844	PFK1
YGL207W::BFLEX	-0.844	SPT16
YGL173C::BFLEX	-0.843	KEM1
YBR079C::BFLEX	-0.841	RPG1
YML060W::BFLEX	-0.84	OGG1
