#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YNL314W::BFLEX	-0.651	DAL82
YOR114W::BFLEX	-0.651	YOR114W
YKL152C::BFLEX	-0.649	GPM1
YER122C::BFLEX	-0.648	GLO3
YBL056W::BFLEX	-0.647	PTC3
YNL201C::BFLEX	-0.646	PSY2
YLR190W::BFLEX	-0.645	MMR1
YHL020C::BFLEX	-0.645	OPI1
YGL175C::BFLEX	-0.643	SAE2
YJL029C::BFLEX	-0.643	VPS53
YKL011C::BFLEX	-0.642	CCE1
YAL064C-A::BFLEX	-0.641	YAL064C-A
YDR211W::BFLEX	-0.64	GCD6
YPL116W::BFLEX	-0.64	HOS3
YBR086C::BFLEX	-0.64	IST2
YJL136C::BFLEX	-0.64	RPS21B
YMR250W::BFLEX	-0.636	GAD1
YPL052W::BFLEX	-0.635	OAZ1
YJL069C::BFLEX	-0.635	UTP18
YHL001W::BFLEX	-0.635	
YGL206C::BFLEX	-0.632	CHC1
YEL065W::BFLEX	-0.632	SIT1
YMR235C::BFLEX	-0.63	RNA1
YJL200C::BFLEX	-0.629	ACO2
YBR019C::BFLEX	-0.629	GAL10
YKL088W::BFLEX	-0.629	YKL088W
YHR141C::BFLEX	-0.629	
YOL072W::BFLEX	-0.624	THP1
YGL241W::BFLEX	-0.622	KAP114
YPL040C::BFLEX	-0.621	ISM1
YDR472W::BFLEX	-0.62	TRS31
YGL124C::BFLEX	-0.618	MON1
YGL171W::BFLEX	-0.618	ROK1
YHR134W::BFLEX	-0.616	WSS1
YHR107C::BFLEX	-0.615	CDC12
YIL075C::BFLEX	-0.612	RPN2
YGL104C::BFLEX	-0.612	VPS73
YHR203C::BFLEX	-0.61	RPS4B
YPL012W::BFLEX	-0.61	RRP12
YEL029C::BFLEX	-0.609	BUD16
YJL052W::BFLEX	-0.609	TDH1
YAL011W::BFLEX	-0.607	SWC3
YCL066W::BFLEX	-0.606	
YLR082C::BFLEX	-0.605	SRL2
YGR097W::BFLEX	-0.6	ASK10
YMR290C::BFLEX	-0.6	HAS1
YHR111W::BFLEX	-0.6	UBA4
YBR210W::BFLEX	-0.599	ERV15
YOR213C::BFLEX	-0.599	SAS5
YHR072W::BFLEX	-0.598	ERG7
YMR017W::BFLEX	-0.598	SPO20
YMR086C-A::BFLEX	-0.598	YMR086C-A
YHR008C::BFLEX	-0.597	SOD2
YDL045C::BFLEX	-0.596	FAD1
YNL132W::BFLEX	-0.595	KRE33
YJL112W::BFLEX	-0.595	MDV1
YGR252W::BFLEX	-0.593	GCN5
YMR234W::BFLEX	-0.593	RNH1
YML106W::BFLEX	-0.593	URA5
YLR132C::BFLEX	-0.588	YLR132C
YMR137C::BFLEX	-0.587	PSO2
YPL131W::BFLEX	-0.585	RPL5
YIL073C::BFLEX	-0.585	SPO22
YOR123C::BFLEX	-0.58	LEO1
YMR154C::BFLEX	-0.579	RIM13
YLR423C::BFLEX	-0.576	ATG17
YPL250C::BFLEX	-0.573	ICY2
YLL028W::BFLEX	-0.573	TPO1
YBR164C::BFLEX	-0.571	ARL1
YER050C::BFLEX	-0.571	RSM18
YOR216C::BFLEX	-0.57	RUD3
YLR113W::BFLEX	-0.569	HOG1
YDL025C::BFLEX	-0.569	YDL025C
YMR002W::BFLEX	-0.568	YMR002W
YHR142W::BFLEX	-0.566	CHS7
YNL032W::BFLEX	-0.566	SIW14
YPR070W::BFLEX	-0.565	MED1
YHR186C::BFLEX	-0.564	KOG1
YPL134C::BFLEX	-0.564	ODC1
YER028C::BFLEX	-0.563	MIG3
YOL112W::BFLEX	-0.563	MSB4
YER058W::BFLEX	-0.563	PET117
YBR183W::BFLEX	-0.562	YPC1
YGL190C::BFLEX	-0.562	
YNL096C::BFLEX	-0.561	RPS7B
YMR263W::BFLEX	-0.561	SAP30
YLR455W::BFLEX	-0.559	YLR455W
YER168C::BFLEX	-0.558	CCA1
YMR098C::BFLEX	-0.558	YMR098C
YBL007C::BFLEX	-0.557	SLA1
YHR093W::BFLEX	-0.555	AHT1
YLL025W::BFLEX	-0.555	PAU17
YPL049C::BFLEX	-0.552	DIG1
YOR089C::BFLEX	-0.552	VPS21
YLR337C::BFLEX	-0.552	VRP1
YLR072W::BFLEX	-0.552	YLR072W
YDL180W::BFLEX	-0.551	YDL180W
YCR040W::BFLEX	-0.551	
YKL208W::BFLEX	-0.55	CBT1
YCR071C::BFLEX	-0.549	IMG2
YGL163C::BFLEX	-0.548	RAD54
YGR012W::BFLEX	-0.548	YGR012W
YHR112C::BFLEX	-0.548	YHR112C
YHR036W::BFLEX	-0.547	BRL1
YAL043C::BFLEX	-0.547	PTA1
YFL004W::BFLEX	-0.546	VTC2
YDR012W::BFLEX	-0.546	
YJR109C::BFLEX	-0.545	CPA2
YDR325W::BFLEX	-0.545	YCG1
YMR090W::BFLEX	-0.542	YMR090W
YDR074W::BFLEX	-0.539	TPS2
YCR022C::BFLEX	-0.539	YCR022C
YLR193C::BFLEX	-0.537	UPS1
YFL029C::BFLEX	-0.535	CAK1
YBR227C::BFLEX	-0.535	MCX1
YOR018W::BFLEX	-0.535	ROD1
YGL213C::BFLEX	-0.535	SKI8
YKL106C-A::BFLEX	-0.535	
YHR047C::BFLEX	-0.534	AAP1
YDR030C::BFLEX	-0.534	RAD28
YIL072W::BFLEX	-0.533	HOP1
YIL037C::BFLEX	-0.533	PRM2
YCR037C::BFLEX	-0.532	PHO87
YLL011W::BFLEX	-0.531	SOF1
YGR109W-A::BFLEX	-0.531	
YDR143C::BFLEX	-0.53	SAN1
YCR073W-A::BFLEX	-0.529	SOL2
YKL216W::BFLEX	-0.529	URA1
YBR160W::BFLEX	-0.528	CDC28
YPL030W::BFLEX	-0.528	YPL030W
YDR519W::BFLEX	-0.527	FPR2
YLR377C::BFLEX	-0.526	FBP1
YMR026C::BFLEX	-0.526	PEX12
YBR038W::BFLEX	-0.525	CHS2
YHR114W::BFLEX	-0.524	BZZ1
YKL078W::BFLEX	-0.523	DHR2
YNL309W::BFLEX	-0.523	STB1
YPR080W::BFLEX	-0.523	
YDL021W::BFLEX	-0.521	GPM2
YER149C::BFLEX	-0.521	PEA2
YGR089W::BFLEX	-0.52	NNF2
YDR128W::BFLEX	-0.52	YDR128W
YNL241C::BFLEX	-0.519	ZWF1
YDR399W::BFLEX	-0.518	HPT1
YER112W::BFLEX	-0.515	LSM4
YDR213W::BFLEX	-0.515	UPC2
YML075C::BFLEX	-0.514	HMG1
YDR167W::BFLEX	-0.514	TAF10
YBR066C::BFLEX	-0.513	NRG2
YOR095C::BFLEX	-0.513	RKI1
YPL091W::BFLEX	-0.511	GLR1
YPL120W::BFLEX	-0.511	VPS30
YEL022W::BFLEX	-0.511	
YGR030C::BFLEX	-0.51	POP6
YHR197W::BFLEX	-0.51	RIX1
YIL087C::BFLEX	-0.51	YIL087C
YLR387C::BFLEX	-0.509	REH1
YOR137C::BFLEX	-0.509	SIA1
YMR218C::BFLEX	-0.508	TRS130
YML093W::BFLEX	-0.508	UTP14
YOL077C::BFLEX	-0.506	BRX1
YDL229W::BFLEX	-0.506	SSB1
YGR141W::BFLEX	-0.505	VPS62
YHR062C::BFLEX	-0.504	RPP1
YER053C::BFLEX	-0.503	PIC2
YGL150C::BFLEX	-0.502	INO80
YJR010C-A::BFLEX	-0.502	SPC1
YBR149W::BFLEX	-0.501	ARA1
YBR085C-A::BFLEX	-0.501	
YGL219C::BFLEX	-0.5	MDM34
YAL007C::BFLEX	-0.499	ERP2
YER150W::BFLEX	-0.499	SPI1
YDR473C::BFLEX	-0.498	PRP3
YKR044W::BFLEX	-0.498	UIP5
YPR132W::BFLEX	-0.497	RPS23B
YOR238W::BFLEX	-0.497	YOR238W
YIR029W::BFLEX	-0.496	DAL2
YBL051C::BFLEX	-0.495	PIN4
YPL026C::BFLEX	-0.495	SKS1
YPR057W::BFLEX	-0.494	BRR1
YMR155W::BFLEX	-0.493	YMR155W
YMR289W::BFLEX	-0.492	ABZ2
YIL114C::BFLEX	-0.492	POR2
YFR031C::BFLEX	-0.492	SMC2
YOR228C::BFLEX	-0.492	YOR228C
YLR186W::BFLEX	-0.491	EMG1
YGL143C::BFLEX	-0.491	MRF1
YPR117W::BFLEX	-0.49	YPR117W
YOR256C::BFLEX	-0.489	TRE2
YDR107C::BFLEX	-0.489	YDR107C
YNL026W::BFLEX	-0.486	SAM50
YDR482C::BFLEX	-0.484	CWC21
YPL174C::BFLEX	-0.484	NIP100
YGR192C::BFLEX	-0.484	TDH3
YAL027W::BFLEX	-0.484	YAL027W
YBR251W::BFLEX	-0.483	MRPS5
YNL163C::BFLEX	-0.482	RIA1
YNL168C::BFLEX	-0.481	FMP41
YKR026C::BFLEX	-0.481	GCN3
YNL106C::BFLEX	-0.481	INP52
YOR322C::BFLEX	-0.481	LDB19
YBR080C::BFLEX	-0.48	SEC18
YER051W::BFLEX	-0.479	JHD1
YPR121W::BFLEX	-0.478	THI22
YOL080C::BFLEX	-0.477	REX4
YPR074C::BFLEX	-0.476	TKL1
YKL064W::BFLEX	-0.475	MNR2
YHR031C::BFLEX	-0.475	RRM3
YER074W-A::BFLEX	-0.475	YOS1
YMR177W::BFLEX	-0.474	MMT1
YDR051C::BFLEX	-0.474	YDR051C
YER183C::BFLEX	-0.472	FAU1
YKR031C::BFLEX	-0.472	SPO14
YOR054C::BFLEX	-0.472	VHS3
YGR155W::BFLEX	-0.471	CYS4
YIR012W::BFLEX	-0.471	SQT1
YPR105C::BFLEX	-0.47	COG4
YML103C::BFLEX	-0.47	NUP188
YJR108W::BFLEX	-0.469	ABM1
YFR011C::BFLEX	-0.469	YFR011C
YPL029W::BFLEX	-0.468	SUV3
YKL210W::BFLEX	-0.468	UBA1
YMR012W::BFLEX	-0.467	CLU1
YKR059W::BFLEX	-0.467	TIF1
YIL002C::BFLEX	-0.466	INP51
YPL006W::BFLEX	-0.466	NCR1
YBL023C::BFLEX	-0.465	MCM2
YBR012C::BFLEX	-0.465	YBR012C
YDR130C::BFLEX	-0.462	FIN1
YLR440C::BFLEX	-0.462	SEC39
YGR138C::BFLEX	-0.462	TPO2
YMR242C::BFLEX	-0.46	RPL20A
YDR238C::BFLEX	-0.46	SEC26
YER098W::BFLEX	-0.46	UBP9
YNL063W::BFLEX	-0.459	MTQ1
YDR346C::BFLEX	-0.459	SVF1
YPR163C::BFLEX	-0.459	TIF3
YJL118W::BFLEX	-0.457	YJL118W
YLR222C::BFLEX	-0.456	UTP13
YPL170W::BFLEX	-0.455	DAP1
YJR068W::BFLEX	-0.455	RFC2
YKL139W::BFLEX	-0.453	CTK1
YNR072W::BFLEX	-0.452	HXT17
YBR296C::BFLEX	-0.45	PHO89
YHR171W::BFLEX	-0.449	ATG7
YDR405W::BFLEX	-0.449	MRP20
YCL063W::BFLEX	-0.449	VAC17
YML021C::BFLEX	-0.448	UNG1
YBL029C-A::BFLEX	-0.448	
YLR227C::BFLEX	-0.447	ADY4
YDR179C::BFLEX	-0.447	CSN9
YBR101C::BFLEX	-0.447	FES1
YDR502C::BFLEX	-0.447	SAM2
YCR003W::BFLEX	-0.445	MRPL32
YOR155C::BFLEX	-0.444	ISN1
YIL048W::BFLEX	-0.444	NEO1
YOR386W::BFLEX	-0.443	PHR1
YGR170W::BFLEX	-0.44	PSD2
YPL106C::BFLEX	-0.44	SSE1
YGR143W::BFLEX	-0.439	SKN1
YIR016W::BFLEX	-0.439	YIR016W
YDR386W::BFLEX	-0.435	MUS81
YKL222C::BFLEX	-0.435	YKL222C
YLR032W::BFLEX	-0.433	RAD5
YKL149C::BFLEX	-0.432	DBR1
YMR084W::BFLEX	-0.432	YMR084W
YJL181W::BFLEX	-0.43	YJL181W
YCR072C::BFLEX	-0.429	RSA4
YOL087C::BFLEX	-0.429	YOL087C
YKL184W::BFLEX	-0.427	SPE1
YDR322C-A::BFLEX	-0.426	
YER093C-A::BFLEX	-0.425	YER093C-A
YDR410C::BFLEX	-0.423	STE14
YFR015C::BFLEX	-0.422	GSY1
YBR025C::BFLEX	-0.422	YBR025C
YOL095C::BFLEX	-0.421	HMI1
YDL188C::BFLEX	-0.421	PPH22
YKL041W::BFLEX	-0.421	VPS24
YGL151W::BFLEX	-0.42	NUT1
YGR053C::BFLEX	-0.419	YGR053C
YLR413W::BFLEX	-0.419	YLR413W
YDL060W::BFLEX	-0.418	TSR1
YKL132C::BFLEX	-0.416	RMA1
YKL047W::BFLEX	-0.416	YKL047W
YDR016C::BFLEX	-0.415	DAD1
YOL001W::BFLEX	-0.415	PHO80
YHR182W::BFLEX	-0.415	YHR182W
YHR201C::BFLEX	-0.413	
YML078W::BFLEX	-0.412	CPR3
YDL095W::BFLEX	-0.412	PMT1
YJL087C::BFLEX	-0.412	TRL1
YDR435C::BFLEX	-0.411	PPM1
YHR184W::BFLEX	-0.411	SSP1
YCR083W::BFLEX	-0.411	TRX3
YPL204W::BFLEX	-0.41	HRR25
YDR172W::BFLEX	-0.41	SUP35
YFL025C::BFLEX	-0.409	BST1
YBL111C::BFLEX	-0.409	
YDR195W::BFLEX	-0.408	REF2
YJL004C::BFLEX	-0.408	SYS1
YJR044C::BFLEX	-0.408	VPS55
YPL159C::BFLEX	-0.407	PET20
YPR187W::BFLEX	-0.407	RPO26
YOL154W::BFLEX	-0.407	
YMR071C::BFLEX	-0.406	TVP18
YBR133C::BFLEX	-0.405	HSL7
YMR056C::BFLEX	-0.404	AAC1
YOR079C::BFLEX	-0.404	ATX2
YOR351C::BFLEX	-0.404	MEK1
YML123C::BFLEX	-0.404	PHO84
YMR123W::BFLEX	-0.404	PKR1
YBR125C::BFLEX	-0.404	PTC4
YMR191W::BFLEX	-0.404	SPG5
YOR222W::BFLEX	-0.403	ODC2
YJR127C::BFLEX	-0.403	RSF2
YHR033W::BFLEX	-0.403	YHR033W
YBR084W::BFLEX	-0.402	MIS1
YNL061W::BFLEX	-0.402	NOP2
YMR251W-A::BFLEX	-0.401	HOR7
YDR392W::BFLEX	-0.401	SPT3
YDL027C::BFLEX	-0.401	YDL027C
YIL176C::BFLEX	-0.401	
YNL156C::BFLEX	-0.399	NSG2
YJL074C::BFLEX	-0.399	SMC3
YJL034W::BFLEX	-0.397	KAR2
YJL010C::BFLEX	-0.397	NOP9
YLR054C::BFLEX	-0.397	OSW2
YHR192W::BFLEX	-0.397	
YDL174C::BFLEX	-0.396	DLD1
YFR040W::BFLEX	-0.396	SAP155
YJR122W::BFLEX	-0.395	CAF17
YLL010C::BFLEX	-0.395	PSR1
YLR420W::BFLEX	-0.394	URA4
YOL030W::BFLEX	-0.393	GAS5
YMR083W::BFLEX	-0.392	ADH3
YBR223C::BFLEX	-0.392	TDP1
YBR213W::BFLEX	-0.391	MET8
YIR018W::BFLEX	-0.391	YAP5
YDL069C::BFLEX	-0.39	CBS1
YOR174W::BFLEX	-0.388	MED4
YDR087C::BFLEX	-0.388	RRP1
YGR149W::BFLEX	-0.388	YGR149W
YDR164C::BFLEX	-0.387	SEC1
YJL056C::BFLEX	-0.386	ZAP1
YLR288C::BFLEX	-0.385	MEC3
YJL203W::BFLEX	-0.385	PRP21
YDL103C::BFLEX	-0.384	QRI1
YBR294W::BFLEX	-0.384	SUL1
YLR183C::BFLEX	-0.384	TOS4
YOR122C::BFLEX	-0.382	PFY1
YFL034C-A::BFLEX	-0.381	RPL22B
YPR032W::BFLEX	-0.381	SRO7
YDR381W::BFLEX	-0.381	YRA1
YDR055W::BFLEX	-0.38	PST1
YDL129W::BFLEX	-0.379	YDL129W
YML097C::BFLEX	-0.377	VPS9
YDR270W::BFLEX	-0.376	CCC2
YOR257W::BFLEX	-0.376	CDC31
YKR051W::BFLEX	-0.376	YKR051W
YHR079C::BFLEX	-0.374	IRE1
YDR268W::BFLEX	-0.373	MSW1
YDR429C::BFLEX	-0.373	TIF35
YGR286C::BFLEX	-0.372	BIO2
YHR032W::BFLEX	-0.372	YHR032W
YBR152W::BFLEX	-0.37	SPP381
YIL047C::BFLEX	-0.37	SYG1
YGR261C::BFLEX	-0.369	APL6
YJL146W::BFLEX	-0.369	IDS2
YHL009C::BFLEX	-0.367	YAP3
YNL281W::BFLEX	-0.366	HCH1
YDR135C::BFLEX	-0.366	YCF1
YKL027W::BFLEX	-0.366	YKL027W
YKR005C::BFLEX	-0.366	YKR005C
YBR094W::BFLEX	-0.365	YBR094W
YDR348C::BFLEX	-0.365	YDR348C
YNL194C::BFLEX	-0.365	YNL194C
YPL144W::BFLEX	-0.365	YPL144W
YIL050W::BFLEX	-0.364	PCL7
YEL056W::BFLEX	-0.363	HAT2
YOR101W::BFLEX	-0.362	RAS1
YBR046C::BFLEX	-0.362	ZTA1
YER091C::BFLEX	-0.361	MET6
YBR118W::BFLEX	-0.361	TEF2
YLR116W::BFLEX	-0.36	MSL5
YPL246C::BFLEX	-0.36	RBD2
YNL131W::BFLEX	-0.359	TOM22
YNL046W::BFLEX	-0.359	YNL046W
YIR031C::BFLEX	-0.358	DAL7
YCR001W::BFLEX	-0.358	YCR001W
YHR018C::BFLEX	-0.357	ARG4
YGR041W::BFLEX	-0.357	BUD9
YPL060W::BFLEX	-0.356	LPE10
YGR241C::BFLEX	-0.356	YAP1802
YBR071W::BFLEX	-0.355	YBR071W
YJR129C::BFLEX	-0.355	YJR129C
YBR263W::BFLEX	-0.353	SHM1
YJL027C::BFLEX	-0.353	YJL027C
YNL300W::BFLEX	-0.353	YNL300W
YCR063W::BFLEX	-0.35	BUD31
YPL086C::BFLEX	-0.35	ELP3
YAL056W::BFLEX	-0.35	GPB2
YDR243C::BFLEX	-0.35	PRP28
YFL047W::BFLEX	-0.35	RGD2
YLL038C::BFLEX	-0.349	ENT4
YFR033C::BFLEX	-0.349	QCR6
YGR161C::BFLEX	-0.348	RTS3
YGR099W::BFLEX	-0.348	TEL2
YBR063C::BFLEX	-0.348	YBR063C
YJL068C::BFLEX	-0.348	YJL068C
YHR106W::BFLEX	-0.345	TRR2
YNL232W::BFLEX	-0.344	CSL4
YGR029W::BFLEX	-0.344	ERV1
YMR140W::BFLEX	-0.344	SIP5
YDR534C::BFLEX	-0.342	FIT1
YBR240C::BFLEX	-0.342	THI2
YBR141C::BFLEX	-0.342	YBR141C
YPR122W::BFLEX	-0.341	AXL1
YGL172W::BFLEX	-0.341	NUP49
YIL127C::BFLEX	-0.341	
YBL047C::BFLEX	-0.34	EDE1
YMR080C::BFLEX	-0.34	NAM7
YMR069W::BFLEX	-0.34	NAT4
YDL214C::BFLEX	-0.34	PRR2
YHL023C::BFLEX	-0.34	RMD11
YKR066C::BFLEX	-0.339	CCP1
YDL065C::BFLEX	-0.339	PEX19
YGR239C::BFLEX	-0.339	PEX21
YGR165W::BFLEX	-0.338	MRPS35
YOR306C::BFLEX	-0.336	MCH5
YMR147W::BFLEX	-0.336	YMR147W
YPL228W::BFLEX	-0.335	CET1
YDL145C::BFLEX	-0.335	COP1
YNL327W::BFLEX	-0.335	EGT2
YIR035C::BFLEX	-0.335	YIR035C
YLR225C::BFLEX	-0.334	YLR225C
YFL049W::BFLEX	-0.333	SWP82
YER180C::BFLEX	-0.331	ISC10
YMR099C::BFLEX	-0.331	YMR099C
YOR230W::BFLEX	-0.33	WTM1
YLL014W::BFLEX	-0.33	YLL014W
YPR019W::BFLEX	-0.329	CDC54
YDL108W::BFLEX	-0.328	KIN28
YKL176C::BFLEX	-0.328	LST4
YCR057C::BFLEX	-0.328	PWP2
YLR410W::BFLEX	-0.328	VIP1
YCR015C::BFLEX	-0.328	YCR015C
YLR152C::BFLEX	-0.328	YLR152C
YLR438W::BFLEX	-0.326	CAR2
YKR002W::BFLEX	-0.326	PAP1
YER136W::BFLEX	-0.325	GDI1
YDL053C::BFLEX	-0.325	PBP4
YHR185C::BFLEX	-0.325	PFS1
YGR091W::BFLEX	-0.325	PRP31
YOR048C::BFLEX	-0.325	RAT1
YLR196W::BFLEX	-0.324	PWP1
YGL043W::BFLEX	-0.323	DST1
YDR452W::BFLEX	-0.323	PPN1
YER087C-B::BFLEX	-0.323	
YOR034C::BFLEX	-0.322	AKR2
YPR161C::BFLEX	-0.321	SGV1
YEL046C::BFLEX	-0.32	GLY1
YBR283C::BFLEX	-0.32	SSH1
YOL108C::BFLEX	-0.319	INO4
YGL133W::BFLEX	-0.319	ITC1
YCL004W::BFLEX	-0.317	PGS1
YPL151C::BFLEX	-0.317	PRP46
YDR137W::BFLEX2	-0.317	RGP1
YDR328C::BFLEX	-0.317	SKP1
YLR135W::BFLEX	-0.317	SLX4
YPL207W::BFLEX	-0.317	TYW1
YDR374C::BFLEX	-0.317	YDR374C
YKL090W::BFLEX	-0.316	CUE2
YNL151C::BFLEX	-0.316	RPC31
YMR054W::BFLEX	-0.316	STV1
YPL258C::BFLEX	-0.316	THI21
YOL068C::BFLEX	-0.315	HST1
YER080W::BFLEX	-0.314	FMP29
YJL116C::BFLEX	-0.314	NCA3
YBL011W::BFLEX	-0.314	SCT1
YOL008W::BFLEX	-0.313	COQ10
YDL039C::BFLEX	-0.313	PRM7
YDL051W::BFLEX	-0.311	LHP1
YAL055W::BFLEX	-0.311	PEX22
YNL049C::BFLEX	-0.311	SFB2
YOR172W::BFLEX	-0.311	YRM1
YNL238W::BFLEX	-0.31	KEX2
YOR014W::BFLEX	-0.31	RTS1
YML038C::BFLEX	-0.31	YMD8
YMR013W-A::BFLEX	-0.31	
YDR188W::BFLEX	-0.309	CCT6
YNL164C::BFLEX	-0.309	IBD2
YDR068W::BFLEX	-0.308	DOS2
YKL120W::BFLEX	-0.308	OAC1
YBR286W::BFLEX	-0.307	APE3
YJL044C::BFLEX	-0.307	GYP6
YML104C::BFLEX	-0.307	MDM1
YER184C::BFLEX	-0.306	YER184C
YCR059C::BFLEX	-0.306	YIH1
YJR150C::BFLEX	-0.305	DAN1
YOR075W::BFLEX	-0.305	UFE1
YPR158W::BFLEX	-0.305	YPR158W
YPL138C::BFLEX	-0.304	SPP1
YPL260W::BFLEX	-0.304	YPL260W
YFR030W::BFLEX	-0.303	MET10
YNL044W::BFLEX	-0.303	YIP3
YKR104W::BFLEX	-0.303	YKR104W
YMR221C::BFLEX	-0.302	FMP42
YFL015C::BFLEX	-0.302	YFL015C
YNR001C::BFLEX	-0.301	CIT1
YBR121C::BFLEX	-0.301	GRS1
YDL127W::BFLEX	-0.301	PCL2
YNL160W::BFLEX	-0.301	YGP1
YCR104W::BFLEX	-0.301	
YOL023W::BFLEX	-0.3	IFM1
YKR081C::BFLEX	-0.3	RPF2
YMR118C::BFLEX	-0.3	YMR118C
YJL134W::BFLEX	-0.299	LCB3
YOR274W::BFLEX	-0.299	MOD5
YLR209C::BFLEX	-0.299	PNP1
YIL067C::BFLEX	-0.299	YIL067C
YJR161C::BFLEX	-0.298	
YDL037C::BFLEX	-0.297	BSC1
YDR062W::BFLEX	-0.297	LCB2
YGL012W::BFLEX	-0.296	ERG4
YDL131W::BFLEX	-0.296	LYS21
YHL044W::BFLEX	-0.296	YHL044W
YMR307W::BFLEX	-0.295	GAS1
YNL202W::BFLEX	-0.295	SPS19
YMR035W::BFLEX	-0.294	IMP2
YER006W::BFLEX	-0.294	NUG1
YMR005W::BFLEX	-0.294	TAF4
YHR012W::BFLEX	-0.294	VPS29
YPR115W::BFLEX	-0.294	YPR115W
YHR011W::BFLEX	-0.292	DIA4
YLR068W::BFLEX	-0.292	FYV7
YGR284C::BFLEX	-0.291	ERV29
YPR103W::BFLEX	-0.291	PRE2
YDR343C::BFLEX	-0.291	
YGL017W::BFLEX	-0.29	ATE1
YER063W::BFLEX	-0.29	THO1
YMR010W::BFLEX	-0.29	YMR010W
YGR142W::BFLEX	-0.289	BTN2
YMR294W::BFLEX	-0.289	JNM1
YGR136W::BFLEX	-0.289	LSB1
YJL186W::BFLEX	-0.289	MNN5
YIL109C::BFLEX	-0.289	SEC24
YMR078C::BFLEX	-0.288	CTF18
YOL110W::BFLEX	-0.288	SHR5
YFR041C::BFLEX	-0.287	ERJ5
YDR043C::BFLEX	-0.287	NRG1
YDL007W::BFLEX	-0.287	RPT2
YJL205C-A::BFLEX	-0.287	
YFL028C::BFLEX	-0.286	CAF16
YEL018W::BFLEX	-0.286	EAF5
YOR252W::BFLEX	-0.286	TMA16
YFL017W-A::BFLEX	-0.286	
YPR119W::BFLEX	-0.285	CLB2
YGR201C::BFLEX	-0.284	YGR201C
YOR209C::BFLEX	-0.283	NPT1
YDR063W::BFLEX	-0.283	YDR063W
YFL055W::BFLEX	-0.282	AGP3
YPL126W::BFLEX	-0.282	NAN1
YGR077C::BFLEX	-0.282	PEX8
YLR395C::BFLEX	-0.281	COX8
YEL027W::BFLEX	-0.281	CUP5
YMR208W::BFLEX	-0.281	ERG12
YKL061W::BFLEX	-0.279	YKL061W
YPL254W::BFLEX	-0.278	HFI1
YML032C::BFLEX	-0.278	RAD52
YOR304W::BFLEX	-0.276	ISW2
YCL032W::BFLEX	-0.276	STE50
YOR316C-A::BFLEX	-0.276	
YGL062W::BFLEX	-0.275	PYC1
YOR276W::BFLEX	-0.274	CAF20
YER153C::BFLEX	-0.274	PET122
YER073W::BFLEX	-0.272	ALD5
YBR034C::BFLEX	-0.272	HMT1
YDR234W::BFLEX	-0.272	LYS4
YGR038W::BFLEX	-0.272	ORM1
YML128C::BFLEX	-0.27	MSC1
YLR251W::BFLEX	-0.27	SYM1
YIL104C::BFLEX	-0.269	SHQ1
YHR071W::BFLEX	-0.269	
YBR290W::BFLEX	-0.268	BSD2
YKL074C::BFLEX	-0.268	MUD2
YKL024C::BFLEX	-0.268	URA6
YAR062W::BFLEX	-0.268	
YNL023C::BFLEX	-0.267	FAP1
YKL196C::BFLEX	-0.267	YKT6
YJR091C::BFLEX	-0.265	JSN1
YGL029W::BFLEX	-0.264	CGR1
YMR203W::BFLEX	-0.264	TOM40
YMR244W::BFLEX	-0.264	YMR244W
YMR184W::BFLEX	-0.263	ADD37
YLR394W::BFLEX	-0.263	CST9
YDR078C::BFLEX	-0.263	SHU2
YPL037C::BFLEX	-0.262	EGD1
YBL038W::BFLEX	-0.261	MRPL16
YOR371C::BFLEX	-0.26	GPB1
YNL330C::BFLEX	-0.26	RPD3
YNL122C::BFLEX	-0.26	YNL122C
YGR230W::BFLEX	-0.259	BNS1
YMR008C::BFLEX	-0.259	PLB1
YLR165C::BFLEX	-0.259	PUS5
YLL045C::BFLEX	-0.259	RPL8B
YIL060W::BFLEX	-0.259	YIL060W
YOR261C::BFLEX	-0.258	RPN8
YDR218C::BFLEX	-0.258	SPR28
YEL035C::BFLEX	-0.258	UTR5
YKL067W::BFLEX	-0.258	YNK1
YGR216C::BFLEX	-0.257	GPI1
YDR503C::BFLEX	-0.255	LPP1
YLR295C::BFLEX	-0.254	ATP14
YCL014W::BFLEX	-0.254	BUD3
YOL053W::BFLEX	-0.254	YOL053W
YBL019W::BFLEX	-0.253	APN2
YER064C::BFLEX	-0.253	YER064C
YCL057C-A::BFLEX	-0.252	
YKR013W::BFLEX	-0.251	PRY2
YER094C::BFLEX	-0.251	PUP3
YNL250W::BFLEX	-0.251	RAD50
YBR175W::BFLEX	-0.251	SWD3
YJL013C::BFLEX	-0.25	MAD3
YNL139C::BFLEX	-0.25	RLR1
YMR261C::BFLEX	-0.25	TPS3
YER017C::BFLEX	-0.247	AFG3
YJR062C::BFLEX	-0.246	NTA1
YDR500C::BFLEX	-0.246	RPL37B
YMR264W::BFLEX	-0.245	CUE1
YDR492W::BFLEX	-0.245	IZH1
YDR100W::BFLEX	-0.245	TVP15
YML115C::BFLEX	-0.245	VAN1
YHR208W::BFLEX	-0.245	
YLR348C::BFLEX	-0.244	DIC1
YDR001C::BFLEX	-0.243	NTH1
