#id: 358
#name: S.cerevisiae - Whole organism, Immunodetection of tagged proteins, normalized data (Ghaemmaghami,Nature,2003)
#score: 4.71
#weight: 80%
#description: abundance based on normalized data, immunodetection of tagged proteins, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/14562106" target="_blank">Ghaemmaghami,Nature,2003</a><br/><b>Interaction consistency score</b>: 4.71&nbsp<b>Coverage</b>: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#publication_year: 2003
#filename: Ghaemmaghami_et_al_yeast_data.txt
#
internal_id	string_external_id	abundance
630715	4932.YER169W	49.5
634352	4932.YOL016C	166
634758	4932.YOR226C	76.0
631135	4932.YGL241W	65.2
634185	4932.YNL277W	49.8
632978	4932.YLR108C	4.2
629906	4932.YDR077W	36.2
628985	4932.YBL063W	1.26
632696	4932.YKR008W	190
632885	4932.YLR017W	107
633693	4932.YMR146C	53.4
630069	4932.YDR226W	2721
634626	4932.YOR104W	22.1
632753	4932.YKR064W	3.3
629512	4932.YCR060W	36.8
632080	4932.YJL036W	10.0
630554	4932.YER041W	2.9
629062	4932.YBR016W	39.0
629724	4932.YDL155W	19.8
633190	4932.YLR292C	117
629708	4932.YDL139C	12.3
630089	4932.YDR246W	69.4
634820	4932.YOR288C	18.4
631420	4932.YGR241C	151
633620	4932.YMR079W	1871
632985	4932.YLR115W	68.0
633443	4932.YML054C	102
631651	4932.YHR089C	127
630902	4932.YGL014W	16.0
633718	4932.YMR168C	42.3
633431	4932.YML043C	10.6
632937	4932.YLR068W	32.4
634777	4932.YOR245C	20.1
630515	4932.YER007W	47.6
634664	4932.YOR141C	22.4
630538	4932.YER027C	79.8
633646	4932.YMR104C	29.1
630934	4932.YGL044C	141
630641	4932.YER107C	40.5
629768	4932.YDL195W	40.7
633108	4932.YLR219W	2.9
629949	4932.YDR117C	85.9
631462	4932.YGR282C	999
629478	4932.YCR026C	76.0
633806	4932.YMR246W	692
630470	4932.YEL047C	169
633181	4932.YLR285W	162
635274	4932.YPR036W	499
633442	4932.YML053C	14.6
635253	4932.YPR016C	413
634228	4932.YNL317W	173
629537	4932.YCR087C-A	76.2
631413	4932.YGR235C	116
629897	4932.YDR068W	72.6
629619	4932.YDL055C	2154
634681	4932.YOR156C	70.4
634890	4932.YOR349W	15.6
633393	4932.YML009C	55.0
633464	4932.YML072C	94.9
631602	4932.YHR052W	1018
629975	4932.YDR142C	13.1
632714	4932.YKR026C	199
630795	4932.YFL044C	61.4
632326	4932.YJR043C	53.5
630427	4932.YEL011W	27.2
632295	4932.YJR012C	12.0
632180	4932.YJL130C	244
632514	4932.YKL060C	22601
629010	4932.YBL085W	23.1
632637	4932.YKL173W	6.65
631377	4932.YGR200C	135
629103	4932.YBR056W	43.5
633289	4932.YLR383W	7.52
629749	4932.YDL177C	20.1
631945	4932.YIL127C	81.5
630201	4932.YDR348C	33.0
632646	4932.YKL182W	2038
630333	4932.YDR469W	20.8
630186	4932.YDR333C	7.52
632468	4932.YKL018C-A	7.95
631269	4932.YGR104C	22.4
633113	4932.YLR223C	31.8
632007	4932.YIR012W	437
633267	4932.YLR363C	135
631213	4932.YGR049W	71.4
634239	4932.YNL328C	12.7
630062	4932.YDR219C	30.3
629458	4932.YCR011C	7.52
633342	4932.YLR431C	12.0
632735	4932.YKR046C	47.9
632627	4932.YKL164C	26.0
632287	4932.YJR005W	37.0
633568	4932.YMR031C	124
633972	4932.YNL072W	13.8
629024	4932.YBL098W	12.3
629661	4932.YDL095W	922
634702	4932.YOR174W	35.9
630541	4932.YER030W	13.8
630744	4932.YFL002C	127
629988	4932.YDR155C	1909
631072	4932.YGL181W	20.8
632229	4932.YJL176C	69.9
632355	4932.YJR072C	338
633024	4932.YLR151C	5.28
629534	4932.YCR084C	130
635006	4932.YPL065W	31.5
629738	4932.YDL166C	185
634949	4932.YPL009C	171
631747	4932.YHR178W	6.2
634641	4932.YOR118W	57.6
630116	4932.YDR268W	14.9
633558	4932.YMR022W	46.5
635115	4932.YPL170W	140
633488	4932.YML094W	64.5
632694	4932.YKR006C	30.3
629684	4932.YDL117W	8.37
635398	4932.YPR154W	48.7
630095	4932.YDR251W	6.65
633856	4932.YMR293C	10.8
630620	4932.YER089C	280
632268	4932.YJL214W	13.8
628841	4932.YAL038W	6456
631921	4932.YIL105C	115
634022	4932.YNL119W	63.4
634612	4932.YOR090C	168
633524	4932.YML126C	773
633078	4932.YLR189C	8.78
631970	4932.YIL150C	41.2
630133	4932.YDR285W	8.68
634273	4932.YNR019W	6.2
631328	4932.YGR158C	164
632533	4932.YKL077W	13.5
630873	4932.YFR046C	28.7
629279	4932.YBR212W	34.1
632392	4932.YJR109C	400
633146	4932.YLR254C	34.1
631250	4932.YGR085C	471
629218	4932.YBR158W	44.9
635047	4932.YPL105C	18.4
634611	4932.YOR089C	194
634439	4932.YOL097C	269
632144	4932.YJL096W	40.7
630269	4932.YDR407C	5.75
633257	4932.YLR354C	1177
631139	4932.YGL245W	1081
631090	4932.YGL197W	8.78
632481	4932.YKL029C	232
629330	4932.YBR258C	33.8
633200	4932.YLR301W	343
630841	4932.YFR019W	3.3
633156	4932.YLR262C-A	68.9
635072	4932.YPL129W	69.2
629291	4932.YBR223C	47.3
634796	4932.YOR264W	20.5
631045	4932.YGL154C	13.8
632206	4932.YJL154C	52.4
629921	4932.YDR091C	139
632171	4932.YJL123C	47.9
633085	4932.YLR196W	973
632257	4932.YJL203W	55.3
628803	4932.YAL009W	19.1
631967	4932.YIL147C	14.6
629187	4932.YBR129C	34.7
633185	4932.YLR287C-A	835
629237	4932.YBR176W	31.5
635381	4932.YPR138C	84.8
632645	4932.YKL181W	259
629788	4932.YDL215C	164
631342	4932.YGR167W	77.4
630848	4932.YFR026C	16.0
632195	4932.YJL143W	26.9
629221	4932.YBR161W	4.32
631132	4932.YGL238W	522
630975	4932.YGL085W	15.6
634007	4932.YNL104C	147
633473	4932.YML081C-A	145
631502	4932.YHL019C	64.2
631936	4932.YIL118W	131
630175	4932.YDR322W	171
635137	4932.YPL190C	129
632656	4932.YKL191W	77.4
634260	4932.YNR006W	3.82
631547	4932.YHR006W	144
631682	4932.YHR120W	37.0
634456	4932.YOL111C	145
629914	4932.YDR084C	23.1
631569	4932.YHR025W	2056
633983	4932.YNL083W	26.0
630060	4932.YDR217C	8.88
628936	4932.YBL018C	108
629828	4932.YDR004W	5.28
634482	4932.YOL137W	9.19
630398	4932.YDR530C	39.3
630645	4932.YER111C	13.1
630452	4932.YEL031W	41.6
634410	4932.YOL071W	24.1
628947	4932.YBL029C-A	22.1
629627	4932.YDL063C	57.6
630683	4932.YER144C	6.65
634908	4932.YOR367W	35.0
634928	4932.YOR385W	11.2
631362	4932.YGR185C	60.2
630714	4932.YER168C	300
635217	4932.YPL265W	9.6
631897	4932.YIL083C	70.4
634604	4932.YOR081C	7.95
632848	4932.YLL050C	435
630253	4932.YDR392W	37.9
629362	4932.YBR290W	68.2
634182	4932.YNL274C	72.8
631121	4932.YGL227W	33.3
633510	4932.YML113W	104
629846	4932.YDR021W	68.6
635159	4932.YPL212C	181
634891	4932.YOR350C	19.1
633916	4932.YNL020C	34.4
630832	4932.YFR011C	78.9
631550	4932.YHR008C	242
631246	4932.YGR081C	81.5
633231	4932.YLR330W	3.82
635334	4932.YPR095C	6.2
634845	4932.YOR310C	769
630878	4932.YFR051C	399
631568	4932.YHR024C	696
630982	4932.YGL092W	103
628825	4932.YAL027W	26.0
635108	4932.YPL163C	15.3
631298	4932.YGR129W	54.5
630823	4932.YFR004W	363
631697	4932.YHR133C	42.1
629842	4932.YDR017C	43.0
633867	4932.YMR303C	35.9
634149	4932.YNL241C	333
634462	4932.YOL117W	29.4
634609	4932.YOR086C	136
631179	4932.YGR021W	39.6
629355	4932.YBR283C	15.6
631904	4932.YIL090W	13.5
629272	4932.YBR205W	15.6
634858	4932.YOR321W	60.4
630492	4932.YEL066W	25.6
633501	4932.YML104C	17.4
630960	4932.YGL070C	54.2
631150	4932.YGL256W	2.77
630034	4932.YDR195W	165
634164	4932.YNL256W	102
633840	4932.YMR278W	110
630935	4932.YGL045W	17.4
633650	4932.YMR107W	5.75
633764	4932.YMR207C	8.78
634729	4932.YOR197W	31.2
630200	4932.YDR347W	62.9
630408	4932.YDR540C	3.82
632761	4932.YKR072C	83.2
635296	4932.YPR057W	41.6
632830	4932.YLL032C	20.5
629479	4932.YCR027C	35.6
630605	4932.YER079W	41.9
629036	4932.YBL107C	17.0
630535	4932.YER024W	7.09
629948	4932.YDR116C	156
631437	4932.YGR258C	18.8
633226	4932.YLR325C	1115
635182	4932.YPL234C	12.0
632959	4932.YLR090W	26.9
629620	4932.YDL056W	11.6
631412	4932.YGR234W	288
632160	4932.YJL112W	82.8
633731	4932.YMR178W	86.3
635255	4932.YPR017C	33.3
631005	4932.YGL115W	259
633499	4932.YML102W	47.3
634474	4932.YOL129W	42.1
630467	4932.YEL044W	38.2
633807	4932.YMR247C	4.93
635276	4932.YPR037C	5.75
633463	4932.YML071C	143
629127	4932.YBR077C	77.4
630494	4932.YEL068C	21.1
630011	4932.YDR176W	54.8
633743	4932.YMR189W	267
629956	4932.YDR122W	6.2
630655	4932.YER120W	77.6
633990	4932.YNL090W	85.9
629088	4932.YBR042C	44.6
634401	4932.YOL062C	75.7
634142	4932.YNL234W	4.32
630347	4932.YDR484W	69.4
628940	4932.YBL022C	323
634739	4932.YOR207C	43.2
633782	4932.YMR225C	34.7
634359	4932.YOL022C	2.76
631369	4932.YGR192C	3749
629148	4932.YBR095C	36.2
631673	4932.YHR111W	58.1
628966	4932.YBL045C	429
633527	4932.YML129C	152
630388	4932.YDR524C	8.78
631207	4932.YGR043C	42.7
635438	4932.YPR184W	2.76
634756	4932.YOR224C	138
629634	4932.YDL070W	65.0
629501	4932.YCR047C	35.9
633097	4932.YLR208W	476
630460	4932.YEL037C	242
630583	4932.YER064C	38.5
634773	4932.YOR241W	157
633717	4932.YMR167W	7.09
633079	4932.YLR190W	23.7
634900	4932.YOR359W	71.0
632819	4932.YLL021W	6.09
632668	4932.YKL205W	77.4
633315	4932.YLR407W	69.6
629101	4932.YBR055C	50.0
634240	4932.YNL329C	36.2
632570	4932.YKL110C	117
631588	4932.YHR040W	62.2
633699	4932.YMR152W	145
633448	4932.YML057W	158
630013	4932.YDR178W	176
632727	4932.YKR038C	28.1
630916	4932.YGL028C	502
633186	4932.YLR288C	9.19
631071	4932.YGL180W	23.7
632163	4932.YJL115W	138
632356	4932.YJR073C	131
630889	4932.YGL004C	49.0
634287	4932.YNR032W	43.5
633491	4932.YML097C	94.9
632695	4932.YKR007W	60.9
632100	4932.YJL055W	143
635341	4932.YPR102C	866
631765	4932.YHR193C	844
630945	4932.YGL056C	471
629025	4932.YBL099W	922
633677	4932.YMR132C	67.9
630151	4932.YDR303C	38.9
634948	4932.YPL008W	2.2
635027	4932.YPL086C	106
629683	4932.YDL116W	190
635130	4932.YPL184C	176
630915	4932.YGL027C	62.9
630096	4932.YDR252W	40.5
632359	4932.YJR076C	206
629883	4932.YDR054C	181
631140	4932.YGL246C	89.5
633317	4932.YLR409C	44.9
634227	4932.YNL316C	44.9
631612	4932.YHR059W	58.4
633828	4932.YMR268C	14.9
629421	4932.YCL045C	62.9
632754	4932.YKR065C	66.7
630064	4932.YDR221W	217
633827	4932.YMR267W	4.32
632838	4932.YLL040C	2.76
632562	4932.YKL103C	127
633652	4932.YMR109W	50.6
632963	4932.YLR094C	23.4
629083	4932.YBR037C	56.6
630075	4932.YDR232W	501
630088	4932.YDR245W	139
631650	4932.YHR088W	17.4
632984	4932.YLR114C	166
629063	4932.YBR017C	47.3
630634	4932.YER100W	42.1
633425	4932.YML037C	18.1
632343	4932.YJR060W	153
634821	4932.YOR289W	37.9
635413	4932.YPR162C	48.2
629655	4932.YDL089W	13.5
633067	4932.YLR178C	22.8
631341	4932.YGR166W	36.8
632620	4932.YKL157W	64.7
632231	4932.YJL178C	199
629785	4932.YDL212W	145
630632	4932.YER098W	2.2
634068	4932.YNL161W	10.0
632338	4932.YJR055W	60.7
